number,id,reviewText,summary,Label
1196,1,Corey Barker does a great job of explaining Blend Modes in this DVD. All of the Kelby training videos are great but pricey to buy individually. If you really want bang for your buck just subscribe to Kelby Training online.,Very thorough,1
2252,6,This unit works just like the TEC unit only better. I like it and would buy another if needed. OK?,Great piece,1
2253,7,It is an exact duplicate of my Time warner remote.I bought it so my wife could control the TV from her chair and not ask me to do it every time.It works great.I would reccomend it to anyone.,Time Warner cable remote,"1,4"
1,10,"I have owned two Rand McNally GPS devices over the last two years. Buyer beware! They are pieces of junk. The software is great, but the hardware does not last. The first GPS lasted a year. I spent another $400, that one lasted about 14 months. If you don't mind spending $400 a year for a GPS buy one. Otherwise do not buy it it is the worst and most expensive piece of junk I have ever bought. I still use my original GARMIN I purchased in 2006.",Piece of Junk,2
2254,14,"Well, what can I say.  I've had this unit in my truck for about four days now.  Prior to that I had a Garmin 755T non-truck GPS.  One of my favorite features in that unit was the ability to plan a route by determining mileage using the stop or via feature.  What I would do is using a map I would route myself several different ways forcing the unit by putting in stops or vias at different locations along the route, otherwise, like most GPS 's, it determines what it thinks is the best route.  I could add up to 10 Via's or stop points for each route and then based on mileage and other factors determine which is the best route to take.  Multiple stops and the ability to route was the most important reason for having the Garmin.  However it was not truck specific.  And considering I am now hauling strictly hazmat I wanted something that would take that into consideration.  After perusing various forums, review sites, and word-of-mouth my choices boiled down to the Garmin 465T or the RAND McNally Intelliroute TND 700.  Even though it was quite a bit more than the Garmin I chose the TND 700 for several reasons.  The main one being the extra screen size, and its ability to coordinate with the RAND McNally truck atlas and also its ease of updating.Now on to my first impression of the TND 700.  It seems to be an aesthetically pleasing and durably built unit.  The first thing I noticed was it's very slow to boot compared to my old Garmin.  Whether this is unique to the TND 700 or is common amongst all truck specific gps units I cannot tell, but it's really not that big of a deal.  The second thing I noticed was the overwhelming wealth of information put forth.  That might explain why the manual (available via the TND dock) is well over 100 pages long.....  There is somewhat of a learning curve with this unit.  The next thing I noticed was the complexity of entering routes.  As previously mentioned I like to force it into my preferred routing by the use of stops or vias.  That was a big no go with this unit.  While you can enter multiple stops or vias it is nowhere near as user-friendly as my old Garmin.  Furthermore there is no way you can determine total mileage on the route that you have chosen, as I could with the Garmin.  Totally flummoxed by what appeared to be an omission of one of the best routing tools a trucker could have I went online and verified through an expert source connected with RAND McNally that no, that feature was a couple updates down the line and was not available at this point.  Unbelievable.  Also forcing the unit to follow a specific route can be very challenging.  For a unit of this price, and feature laden, I find this totally unacceptable.  I am still mulling over selling this unit  and buying the Garmin 465T.  I really do like this GPS, the screen is magnificent, and the volume is awesome.Another thing I've noticed, which I do not think is unique to this unit, is some of the weird routing that it does.  I've never owned a truck specific GPS before but after playing with this one for a couple of days I get the impression that what RAND MacNally (and the others that use Navteq) has done is take a plain old car specific Navteq map and a road atlas with truck restrictions and made notifications on the map.  In most databases there is not a 100% thorough listing of every road in the country.  What I mean is that this unit will route you down roads you don't belong on.  Today while coming home it tried routing me on several  9 ton County roads.  What that means is that a truck is limited to 73280 unless the road is posted at 10 tons.  County roads do not have that restriction listed in the RAND McNally road atlas, so I believe that is why it is not listed.....  Also unacceptable in a unit of this price and sold as truck specific.  However I'd be willing to bet the other truck specific units are the same way as no one has ever done a truck specific version of NavTeq.Another bone I have to pick is the POI's. Not only the truck specific ones but the others all seem to be somewhat outdated.  I think the Garmin, at least the ones that I have used, are more current.  It would also be nice if I could add my own POI'sTo sum it up I will keep this unit a little longer to see if I can make it workable.  If not I will go back to Garmin.  I like the concept and I like the unit but at this point I'll have to say I am somewhat unimpressed.pros:Large screenterrific imagesoutstanding volumecons:inability to determine route mileage by multiple stops and viasa somewhat outdated POI information.Non-truck specific routings.Cost.",1st impression,"2,3"
2255,17,"I did a lot of comparison shopping and decided to buy the Rand McNally 7\ GPS.  Has better graphics than Cobra 7\.  It does have lane assist which is important when in large metro areas and need to be in correct lane for exits, etc Atlanta, GA.  I have read some of the negative comments written earlier and I do not have those problems.  Sure, sometimes it does not give the fastest or the simplest route but it has never sent me down a non truck route like all the prior gps i have had in the past.  I am a car carrier so I set truck size at 13' 8\ and it has kept me from going down roads with 13'6\ bridges.  The only negative comment I have is that it constantly changes map views from city to county to state way to often.  Other than this, I love the fact that:  1) it shows mileage to destination, arrival time (which you can change to time left),  2) shows the city, county and state you are current located (how often we truck drivers pull over at a rest area or truck stop and wonder what city we are located).  3) large 7\ color screen for easy viewing and screen changes automatically for night time driving  4) list truck poi and non truck poi (wish Rand McNally had a feature that would let us send them an update for poi, maybe when we get at a Loves that use to be a Pilot, just tap on the screen and edit info, then when I connect gps to computer for weekly update the map will get updated.  5) able to update construction info by linking gps to computer and get updates given to Rand McNally by the states.  Unfortunately like usual  the states are mostly behind on updates given to Rand McNally.  This is where we the consumer should have the ability to tap screen and make corrections and send it to Rand McNally.  Many times I have gone into areas that it said \Construction Ahead\ and no construction is being done because it has been completed.  6)  speed limits of highways and Interstates and shows your current speed just below it (also shows truck speed limits in red) Still the states have to report these limits to Rand McNally and as usual they are slow on reporting.  But still most of the time 95% it is correct.  7)  great truckers tools like driving hours left.  It automatically changes to driving when truck has moved for more than 1 mile and changes to off duty if it is idle for 15 minutes.  It lets you know when you have 1 hour left to drive and that driving time has expired. You reset every day manually.  Also have total hours worked for day and hours left to work for the week. You will have to manually override this sometimes because it doesn't distinguish off duty and on duty hours well, you have to manually tell it you are on duty.  I just manually configure at the end of the day.  The important one is driving hours and end of the week hours.  8)  service reminders for your perimeters you set, such as 8000 and 16000 services.  You reset manually when completed.  9)  able to set many multiple stops set and ability to add more stops in route  10) loud enough to hear spoken text to speech street names over engine noise (and believe me my truck is loud)  11) ability to save your own poi (I do it all the time)  12) it tells you when you are 3 miles from approaching a weight station (you can configure it up to 5 miles)  13) it tells you when you are 1 mile from state border and tells you when you cross border and what state you are in.  14) it tells you all mileage you driven that day and mileage by state and mileage by day.  saves info for 1 year.  Overall, this is definitely a truckers friend and I absolutely love this GPS.  A definite must buy.",Excellent buy,"1,3,4"
2256,19,I was real psyched when i got it and all the features are what i was looking for in a truck gps. Well that all went away real quick.1.The log feature and milage is inaccurate.2.The speed limits are way off all throughout the country.3.The screen is hard to read on sunny days.4 The  suction cup mount is clunky and comes loose constantly.5.It sent me over ebbers pass while trucking to Lake Tahoe last week.  (14% grade for 15 miles) I won't do that again.6. The power switch has recessed into the unit and will not turn back on.7.Called tech support about returning the unit and the guy barely spoke english.8.I expected better from rand mc'nally.,Don't buy the hype on this one.,"2,3"
2257,20,"Thought the unit was going to be a good unit, but was I wrong very wrong. The unit has a bad probleum with the 12 volty pulg in. They replaced the unit once in 6 months and the second unit last about 8 months before it started giving me trouble, but would they stand behind it NO NO NO. They said it had been over a year since I had bought the first unit so it was not covered.  The person I talked with at the Tec centered knew very well what I was talking about. If I made something that cost as much and made claims of how great a unit it was I would stand behind it and if I knew of probleums with the 12 plug in I would come up with a fix.  So take your chances if you buy one from Rand McNally hope it last for you but I have my doughts. Have a friend this last week his started have the same probleum so I told him he had better send it in.",BAD BAD BAD TND-700,"2,3"
2,25,"I've had this for about 6 months now. This is the worst GPS I've owned out of 4. It very seldom picks the best, or shortest route. It will let you put in multiple stops, but you only get info to the NEXT one. If you don't like a route and put in a VIA, guess what you only get info to the new VIA, how am I supposed to know if the new route is better? Routing is unbelievably slow, I've had it take up to 30 minutes, then get it wrong. Adding things to the notes just puts it into one long line. How about putting a return so I can at least organize a little bit. Very cumbersome to use, it's of little or no use for long range trip planning. I wouldn't recommend this to anybody at any price.",VERY poor GPS,"2,3"
3,30,"This cover fits very nice, and looks like rich leather, fits my nook to a tea, also has extra pockets in it.",Cover for my nook.,1
