number,id,reviewText:,summary:,Label
1,10,"I have owned two Rand McNally GPS devices over the last two years. Buyer beware! They are pieces of junk. The software is great, but the hardware does not last. The first GPS lasted a year. I spent another $400, that one lasted about 14 months. If you don't mind spending $400 a year for a GPS buy one. Otherwise do not buy it it is the worst and most expensive piece of junk I have ever bought. I still use my original GARMIN I purchased in 2006.",Piece of Junk,2
2,25,"I've had this for about 6 months now. This is the worst GPS I've owned out of 4. It very seldom picks the best, or shortest route. It will let you put in multiple stops, but you only get info to the NEXT one. If you don't like a route and put in a VIA, guess what you only get info to the new VIA, how am I supposed to know if the new route is better? Routing is unbelievably slow, I've had it take up to 30 minutes, then get it wrong. Adding things to the notes just puts it into one long line. How about putting a return so I can at least organize a little bit. Very cumbersome to use, it's of little or no use for long range trip planning. I wouldn't recommend this to anybody at any price.",VERY poor GPS,"2,3"
3,30,"This cover fits very nice, and looks like rich leather, fits my nook to a tea, also has extra pockets in it.",Cover for my nook.,1
4,38,Horrible! It doesn't charge my Nook at all! Do not buy this charger for your Nook. I want a refund.,Don't do it,"2,3"
5,40,Just so you know ... you need to put something in front of the reader so the pages don't turn.  I think the &#34;pocket&#34; in front hits the glass and makes the page turn back (sometimes several pages).,Just so you know... you need to ...,3
6,63,"now i can charge my nook anywhere, no need for pc. a touch pricey at about $10, but i'm happy.",love it,1
7,76,This product really works great but I found the following items you need to keep in mind:- You must have your power adapter connected for it to work...it plugs in the the bottom. It appears it needs power from the nook power adapter to operate.- The plug fits in loosely and you cannot move the Nook around much without holding the adapter in place.- On initial plugin it seems you need to rock it around to get the connection but then it seems solid.- It works with a 25ft high quality HDMI cable so you can put the NOOK across the room with you. Not tested with cheap cables.Warning...I found that my LG SmartTV 3D from a few years back does not work with this adapter but it does not seem to work with many things...bad software. This adapter works fine with other HDMI devices I have used like monitors and I am sure other TVs.Gave it five stars because it really is nice to extend the screen and use your Nook as a streaming server to your TV. Nice they made such a device.,This works great but read the details...,"1,4"
8,78,"Great to be able to hook your nook up to TV and watch netflix, hbo-go, etc on it.  Cord could be a bit longer, but works okay - just have to have nook close to the tv.",Works well,1
9,80,"I barely touched my Tablet until I got screen protectors because I was terrified I would completely wreck the screen since, screens seem to be allergic to me. I bought this type (anti glare) for the same price as non anti glare, & I went to B&N where the nice NOOK staff put mine on for me. So far no scratches & its doing great protecting my screen! My only complaint, why I rate this as 4 stars, is that I have to clean the screen even with the cover fairly frequently because its beyond easy to leave finger smudges all over it even with clean hands. I dont mind though. If im too lazy to clean the screen I just place my hand flat on it & run my hand across evenly so that everything turns into one big smudge that I can see fine through :P. I definitely recommend this product.",Does it's job...,1
10,81,"GREAT EARPHONES, CLEAR, AND VERY LITTLE DISTORTION.. I WOULD RECOMMEND THESE TO ANYONE WITH A NOOK OR KINDLE. I RECOMMEND THIS PRODUCT",Just waht i NEEDED,1
